beta,epoch,step,train_kl_div,train_loss,train_recon_cat,train_recon_cont,val_kl_div,val_loss,val_recon_cat,val_recon_cont
0.0,0,0,3.6449151039123535,1.773730993270874,0.6943261623382568,1.0794048309326172,,,,
0.0,0,1,3.881106376647949,2.2919716835021973,0.6942808628082275,1.5976909399032593,,,,
0.0,0,2,3.7911312580108643,2.2232706546783447,0.6910192966461182,1.5322513580322266,,,,
0.0,0,3,3.560107707977295,1.7215275764465332,0.6890076398849487,1.0325199365615845,,,,
0.0,0,4,3.3127434253692627,1.5356295108795166,0.6920601725578308,0.8435693383216858,,,,
0.0,0,5,3.486570358276367,1.8031928539276123,0.6926106214523315,1.1105822324752808,,,,
0.0,0,6,3.448585033416748,1.7618110179901123,0.6924684047698975,1.0693426132202148,,,,
0.0,0,7,3.5870327949523926,1.966342568397522,0.6926068067550659,1.273735761642456,,,,
0.0,0,8,4.133951663970947,2.5107133388519287,0.6938289403915405,1.8168843984603882,,,,
0.0,0,9,4.072561264038086,2.4264464378356934,0.6913424730300903,1.7351040840148926,,,,
0.0,0,10,3.604562759399414,1.7286714315414429,0.6909291744232178,1.037742257118225,,,,
0.0,0,11,3.4211697578430176,1.4612183570861816,0.6889728903770447,0.772245466709137,,,,
0.0,0,12,3.7684502601623535,2.010594606399536,0.6920042634010315,1.3185904026031494,,,,
0.0,0,13,3.368567705154419,1.4218225479125977,0.6868577003479004,0.7349647879600525,,,,
0.0,0,14,1.477142095565796,1.6987941265106201,0.6888194680213928,1.009974718093872,,,,
0.0,0,14,,,,,3.006610870361328,1.6389079093933105,0.6868782639503479,0.9520296454429626
0.0,1,15,3.8088338375091553,1.6675646305084229,0.6918947100639343,0.9756699204444885,,,,
0.0,1,16,3.5832102298736572,1.6617083549499512,0.6931907534599304,0.9685176014900208,,,,
0.0,1,17,3.9592342376708984,1.800118088722229,0.6910320520401001,1.109086036682129,,,,
0.0,1,18,3.7847177982330322,1.700360655784607,0.6891204118728638,1.0112402439117432,,,,
0.0,1,19,3.65177583694458,1.4947967529296875,0.6929397583007812,0.8018569946289062,,,,
0.0,1,20,3.897618293762207,1.574805736541748,0.6910741329193115,0.8837315440177917,,,,
0.0,1,21,4.1864542961120605,1.830171823501587,0.6917479038238525,1.1384239196777344,,,,
